Domain Code,Domain,Reporter Country Code,Reporter Countries,Partner Country Code,Partner Countries,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","41","China, mainland","214","China, Taiwan Province of","5622","Import Value","30","Rice - total  (Rice milled equivalent)","2001","2001","1000 US$","34","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","214","China, Taiwan Province of","5622","Import Value","30","Rice - total  (Rice milled equivalent)","2002","2002","1000 US$","600","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","214","China, Taiwan Province of","5622","Import Value","30","Rice - total  (Rice milled equivalent)","2005","2005","1000 US$","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","214","China, Taiwan Province of","5622","Import Value","30","Rice - total  (Rice milled equivalent)","2006","2006","1000 US$","11","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","214","China, Taiwan Province of","5622","Import Value","30","Rice - total  (Rice milled equivalent)","2007","2007","1000 US$","4","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","214","China, Taiwan Province of","5622","Import Value","30","Rice - total  (Rice milled equivalent)","2008","2008","1000 US$","1","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","214","China, Taiwan Province of","5622","Import Value","30","Rice - total  (Rice milled equivalent)","2009","2009","1000 US$","42","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","214","China, Taiwan Province of","5622","Import Value","30","Rice - total  (Rice milled equivalent)","2010","2010","1000 US$","70","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","214","China, Taiwan Province of","5622","Import Value","30","Rice - total  (Rice milled equivalent)","2011","2011","1000 US$","23","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","214","China, Taiwan Province of","5622","Import Value","30","Rice - total  (Rice milled equivalent)","2012","2012","1000 US$","1325","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","214","China, Taiwan Province of","5622","Import Value","30","Rice - total  (Rice milled equivalent)","2013","2013","1000 US$","1133","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","214","China, Taiwan Province of","5622","Import Value","30","Rice - total  (Rice milled equivalent)","2014","2014","1000 US$","1801","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","214","China, Taiwan Province of","5622","Import Value","30","Rice - total  (Rice milled equivalent)","2015","2015","1000 US$","842","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","214","China, Taiwan Province of","5622","Import Value","30","Rice - total  (Rice milled equivalent)","2016","2016","1000 US$","509","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","48","Costa Rica","5622","Import Value","30","Rice - total  (Rice milled equivalent)","2014","2014","1000 US$","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","116","Democratic People's Republic of Korea","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1987","1987","1000 US$","2566","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","116","Democratic People's Republic of Korea","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1988","1988","1000 US$","5323","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","116","Democratic People's Republic of Korea","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1989","1989","1000 US$","10880","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","116","Democratic People's Republic of Korea","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1990","1990","1000 US$","6786","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","116","Democratic People's Republic of Korea","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1991","1991","1000 US$","1428","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","116","Democratic People's Republic of Korea","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1992","1992","1000 US$","772","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","116","Democratic People's Republic of Korea","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1993","1993","1000 US$","33","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","116","Democratic People's Republic of Korea","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1994","1994","1000 US$","221","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","116","Democratic People's Republic of Korea","5622","Import Value","30","Rice - total  (Rice milled equivalent)","2007","2007","1000 US$","4","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","116","Democratic People's Republic of Korea","5622","Import Value","30","Rice - total  (Rice milled equivalent)","2008","2008","1000 US$","9","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","116","Democratic People's Republic of Korea","5622","Import Value","30","Rice - total  (Rice milled equivalent)","2010","2010","1000 US$","20","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","116","Democratic People's Republic of Korea","5622","Import Value","30","Rice - total  (Rice milled equivalent)","2014","2014","1000 US$","40","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","238","Ethiopia","5622","Import Value","30","Rice - total  (Rice milled equivalent)","2016","2016","1000 US$","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","68","France","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1987","1987","1000 US$","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
